id,domain,category,name,description,page_layout,components_used,user_flow,best_practices,tags
p-ht-013,hotel-travel,booking,cancellation-flow,"Booking cancellation with policy display and refund calculation","Policy display → Refund calculation → Reason selection → Confirmation","Card, Alert, Select, PriceDisplay, AlertDialog, Button, Toast","View booking → Click cancel → See policy → Review refund → Select reason → Confirm","Show cancellation deadline; Calculate refund clearly; Offer alternatives; Confirm with dialog",cancellation refund policy booking cancel
p-ht-014,hotel-travel,search-filter,destination-search,"Destination search with autocomplete and popular suggestions","SearchBar → Autocomplete dropdown → Popular destinations grid → Recent searches","SearchBar, Card, Badge, Button","Type destination → See autocomplete → Select → Proceed to rooms","Show popular destinations; Recent searches; Autocomplete with location types; Photo previews",search destination autocomplete popular suggestion
p-ht-015,hotel-travel,data-display,room-comparison,"Side-by-side room type comparison with features and pricing","Comparison table with room types as columns; Feature rows; Pricing at bottom","Card, Table, Badge, PriceDisplay, Button","Select rooms → View comparison → Compare features → Select preferred → Book","Max 3-4 rooms; Highlight differences; Show best value; Sticky header with CTAs",comparison room type feature pricing select
p-ht-016,hotel-travel,data-entry,special-requests,"Guest special request form with predefined options and custom text","Checkbox grid for common requests → Textarea for custom → Priority toggle","Checkbox, Textarea, Switch, Button, Card","Select common requests → Add custom notes → Set priority → Submit","Categorize requests; Show fulfillment status; Time-stamp submissions; Staff notification",request special guest custom preference
p-ht-017,hotel-travel,data-display,invoice-detail,"Detailed invoice breakdown with print/download options","Invoice header → Line items table → Tax breakdown → Total → Actions","Card, Table, Separator, PriceDisplay, Button","View invoice → Review items → Check taxes → Print/download → Email to guest","Itemized charges; Tax breakdown; Payment status; Multi-currency display; PDF export",invoice detail breakdown charges print download
p-ht-018,hotel-travel,navigation,property-switcher,"Multi-property navigation for chain hotel management","Dropdown selector → Property card → Switch confirmation","Select, Card, Badge, Button, Dialog","Click property name → See dropdown → Select property → Confirm → Context switches","Show current property clearly; Recent properties; Search within list; Visual property badges",property switch hotel chain multi-property navigation
p-g-001,general,navigation,responsive-sidebar,"Responsive sidebar that collapses to drawer on mobile","Desktop: fixed sidebar || content; Mobile: hamburger → Sheet drawer","SidebarNav, Sheet, Button","Desktop: click nav items; Mobile: tap hamburger → drawer opens → tap item → drawer closes","Animate transitions; Persist collapsed state; Keyboard accessible; Show active page indicator",sidebar responsive mobile drawer hamburger
p-g-002,general,wizard,form-wizard,"Multi-step form wizard with progress and validation","ProgressSteps → FormStep content → Back/Next buttons","ComplexForm, Button, Progress, Card","Fill step 1 → Validate → Next → ... → Review → Submit","Validate per step; Allow back without losing data; Show progress; Summary before submit",wizard form multi-step progress validation
p-g-003,general,search-filter,search-suggestions,"Search with typeahead suggestions and recent queries","SearchInput → Dropdown with suggestions/recent → Results","SearchInput, Card, Badge","Type → See suggestions → Select or search → View results","Debounce 300ms; Show recent searches; Categorize suggestions; Keyboard navigation",search suggestion typeahead autocomplete recent
p-g-004,general,feedback,empty-state,"Empty state with contextual illustration and primary action","Centered: Icon → Title → Description → Action button","EmptyState, Card, Button","Land on empty page → See empty state → Click action → Create first item","Contextual illustration; Clear next step; Secondary help link; Match page purpose",empty state illustration action first-time
p-g-005,general,feedback,loading-skeleton,"Content loading with skeleton placeholders matching layout","Skeleton shapes matching expected content layout","LoadingSkeleton, Card","Page loads → Skeletons shown → Data arrives → Content replaces skeletons","Match content layout; Animate pulse; Replace progressively; Show after 200ms delay",loading skeleton placeholder shimmer progressive
p-g-006,general,feedback,error-boundary,"Error display with retry option and help link","Centered: Error icon → Title → Description → Retry button → Help link","Alert, Button, Card","Error occurs → Error state shown → User clicks retry → Content reloads","Show error code; Offer retry; Link to status page; Don't lose user context",error boundary retry fallback recovery
p-g-007,general,data-entry,confirmation-dialog,"Action confirmation dialog with consequences display","AlertDialog: Warning icon → Title → Consequence description → Cancel/Confirm buttons","AlertDialog, Button, Alert","Click dangerous action → Dialog shows → Read consequences → Confirm or cancel","Show what will happen; Use destructive variant for delete; Require typed confirmation for critical actions",confirmation dialog destructive modal warning
p-g-008,general,navigation,tab-navigation,"Tab-based content organization with lazy loading","TabNav → Tab content panels","TabNav, Card, Separator","Click tab → Content loads → Interact → Switch tab → Previous state preserved","Lazy-load inactive tabs; Preserve state on switch; Show loading indicator; URL-based tab selection",tab navigation content switch organize lazy
p-g-009,general,data-display,pagination,"Paginated data display with page size selection","DataTable → Pagination bar with page controls and size selector","DataTable, Pagination, Select, Badge","Browse page → Navigate → Change page size → Jump to page","Show total count; Configurable page size; Keyboard navigation; URL-based page state",pagination page navigate data table controls
